Deck Size,Turns,Count
50,0,376
50,50,569
50,100,382
50,150,281
50,200,210
50,250,160
50,300,127
50,350,96
50,400,56
50,450,41
50,500,48
50,550,32
50,600,30
50,650,24
50,700,11
50,750,11
50,800,10
50,850,9
50,900,6
50,950,4
50,1000,5
50,1050,3
50,1100,2
50,1150,2
50,1200,2
50,1250,0
50,1300,0
50,1350,0
50,1400,1
50,1450,0
50,1500,1
50,1550,0
50,1600,0
50,1650,0
50,1700,1
50,1750,0
50,1800,0
50,1850,0
50,1900,0
50,1950,0
50,2000,0
50,2050,0
50,2100,0
50,2150,0
50,2200,0
50,2250,0
50,2300,0
50,2350,0
50,2400,0
50,2450,0
50,2500,0
50,2550,0
50,2600,0
50,2650,0
50,2700,0
50,2750,0
50,2800,0
50,2850,0
50,2900,0
50,2950,0
50,3000,0
50,3050,0
50,3100,0
50,3150,0
50,3200,0
50,3250,0
50,3300,0
50,3350,0
50,3400,0
50,3450,0
50,3500,0
50,3550,0
50,3600,0
50,3650,0
50,3700,0
50,3750,0
50,3800,0
50,3850,0
50,3900,0
50,3950,0
50,4000,0
50,4050,0
50,4100,0
50,4150,0
50,4200,0
50,4250,0
50,4300,0
50,4350,0
50,4400,0
50,4450,0
50,4500,0
50,4550,0
50,4600,0
50,4650,0
50,4700,0
50,4750,0
50,4800,0
50,4850,0
50,4900,0
50,4950,0
50,5000,0
50,5050,0
50,5100,0
50,5150,0
50,5200,0
50,5250,0
50,5300,0
50,5350,0
50,5400,0
50,5450,0
50,5500,0
50,5550,0
50,5600,0
50,5650,0
50,5700,0
50,5750,0
50,5800,0
50,5850,0
50,5900,0
50,5950,0
50,6000,0
50,6050,0
50,6100,0
50,6150,0
50,6200,0
50,6250,0
50,6300,0
50,6350,0
50,6400,0
50,6450,0
50,6500,0
50,6550,0
50,6600,0
50,6650,0
50,6700,0
50,6750,0
50,6800,0
50,6850,0
50,6900,0
50,6950,0
50,7000,0
50,7050,0
50,7100,0
50,7150,0
50,7200,0
50,7250,0
50,7300,0
50,7350,0
50,7400,0
50,7450,0
50,7500,0
50,7550,0
50,7600,0
50,7650,0
50,7700,0
50,7750,0
50,7800,0
50,7850,0
50,7900,0
50,7950,0
50,8000,0
50,8050,0
50,8100,0
50,8150,0
50,8200,0
50,8250,0
50,8300,0
50,8350,0
50,8400,0
50,8450,0
50,8500,0
50,8550,0
50,8600,0
50,8650,0
50,8700,0
50,8750,0
50,8800,0
50,8850,0
50,8900,0
50,8950,0
50,9000,0
50,9050,0
50,9100,0
50,9150,0
50,9200,0
50,9250,0
50,9300,0
50,9350,0
50,9400,0
50,9450,0
50,9500,0
50,9550,0
50,9600,0
50,9650,0
50,9700,0
50,9750,0
50,9800,0
50,9850,0
50,9900,0
50,9950,0
100,0,38
100,50,220
100,100,242
100,150,215
100,200,216
100,250,190
100,300,165
100,350,143
100,400,122
100,450,116
100,500,80
100,550,72
100,600,64
100,650,65
100,700,60
100,750,27
100,800,36
100,850,33
100,900,41
100,950,24
100,1000,29
100,1050,21
100,1100,27
100,1150,33
100,1200,18
100,1250,13
100,1300,17
100,1350,9
100,1400,4
100,1450,17
100,1500,10
100,1550,15
100,1600,11
100,1650,5
100,1700,12
100,1750,5
100,1800,5
100,1850,8
100,1900,4
