Turn Number,Game 1 Player 1,Game 1 Player 2,Game 2 Player 1,Game 2 Player 2,Game 3 Player 1,Game 3 Player 2,Game 4 Player 1,Game 4 Player 2,Game 5 Player 1,Game 5 Player 2,Game 6 Player 1,Game 6 Player 2,Game 7 Player 1,Game 7 Player 2,Game 8 Player 1,Game 8 Player 2,Game 9 Player 1,Game 9 Player 2,Game 10 Player 1,Game 10 Player 2,Game 11 Player 1,Game 11 Player 2,Game 12 Player 1,Game 12 Player 2,Game 13 Player 1,Game 13 Player 2,Game 14 Player 1,Game 14 Player 2,Game 15 Player 1,Game 15 Player 2,Game 16 Player 1,Game 16 Player 2,Game 17 Player 1,Game 17 Player 2,Game 18 Player 1,Game 18 Player 2,Game 19 Player 1,Game 19 Player 2,Game 20 Player 1,Game 20 Player 2,Game 21 Player 1,Game 21 Player 2,Game 22 Player 1,Game 22 Player 2,Game 23 Player 1,Game 23 Player 2,Game 24 Player 1,Game 24 Player 2,Game 25 Player 1,Game 25 Player 2,Game 26 Player 1,Game 26 Player 2,Game 27 Player 1,Game 27 Player 2,Game 28 Player 1,Game 28 Player 2,
Turn 0,26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 
Turn 1,26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 
Turn 2,27, 25, 27, 25, 27, 25, 27, 25, 27, 25, 25, 27, 27, 25, 25, 27, 27, 25, 27, 25, 25, 27, 25, 27, 27, 25, 27, 25, 27, 25, 27, 25, 25, 27, 25, 27, 27, 25, 25, 27, 27, 25, 27, 25, 27, 25, 21, 31, 25, 27, 27, 25, 25, 27, 25, 27, 
Turn 3,28, 24, 26, 26, 28, 24, 30, 22, 26, 26, 26, 26, 26, 26, 26, 26, 28, 24, 26, 26, 26, 26, 28, 24, 26, 26, 26, 26, 28, 24, 26, 26, 24, 28, 26, 26, 28, 24, 24, 28, 26, 26, 28, 24, 28, 24, 20, 32, 26, 26, 26, 26, 24, 28, 26, 26, 
Turn 4,27, 25, 27, 25, 29, 23, 31, 21, 27, 25, 25, 27, 25, 27, 25, 27, 27, 25, 27, 25, 27, 25, 29, 23, 25, 27, 27, 25, 27, 25, 25, 27, 25, 27, 25, 27, 29, 23, 23, 29, 25, 27, 27, 25, 29, 23, 21, 31, 25, 27, 25, 27, 23, 29, 27, 25, 
Turn 5,26, 26, 26, 26, 28, 24, 32, 20, 26, 26, 24, 28, 26, 26, 26, 26, 28, 24, 26, 26, 28, 24, 28, 24, 26, 26, 28, 24, 28, 24, 26, 26, 26, 26, 30, 22, 30, 22, 24, 28, 24, 28, 28, 24, 30, 22, 20, 32, 26, 26, 26, 26, 24, 28, 28, 24, 
Turn 6,25, 27, 27, 25, 27, 25, 31, 21, 27, 25, 23, 29, 27, 25, 25, 27, 27, 25, 27, 25, 29, 23, 27, 25, 27, 25, 27, 25, 27, 25, 25, 27, 25, 27, 29, 23, 31, 21, 25, 27, 25, 27, 27, 25, 31, 21, 19, 33, 27, 25, 25, 27, 23, 29, 27, 25, 
Turn 7,24, 28, 26, 26, 26, 26, 30, 22, 28, 24, 22, 30, 28, 24, 24, 28, 28, 24, 26, 26, 30, 22, 28, 24, 24, 28, 26, 26, 26, 26, 26, 26, 26, 26, 28, 24, 32, 20, 26, 26, 26, 26, 28, 24, 30, 22, 16, 36, 28, 24, 24, 28, 24, 28, 26, 26, 
Turn 8,23, 29, 25, 27, 23, 29, 31, 21, 27, 25, 21, 31, 29, 23, 23, 29, 27, 25, 25, 27, 29, 23, 27, 25, 23, 29, 25, 27, 27, 25, 25, 27, 25, 27, 29, 23, 33, 19, 27, 25, 27, 25, 27, 25, 31, 21, 17, 35, 27, 25, 23, 29, 21, 31, 25, 27, 
Turn 9,24, 28, 26, 26, 24, 28, 30, 22, 26, 26, 22, 30, 28, 24, 24, 28, 26, 26, 26, 26, 30, 22, 26, 26, 22, 30, 26, 26, 26, 26, 24, 28, 24, 28, 28, 24, 32, 20, 26, 26, 26, 26, 26, 26, 32, 20, 16, 36, 28, 24, 24, 28, 20, 32, 24, 28, 
Turn 10,23, 29, 27, 25, 25, 27, 29, 23, 27, 25, 23, 29, 27, 25, 23, 29, 25, 27, 27, 25, 27, 25, 27, 25, 21, 31, 27, 25, 27, 25, 23, 29, 23, 29, 29, 23, 33, 19, 25, 27, 27, 25, 27, 25, 33, 19, 15, 37, 27, 25, 25, 27, 21, 31, 25, 27, 
Turn 11,24, 28, 26, 26, 26, 26, 30, 22, 28, 24, 24, 28, 28, 24, 22, 30, 26, 26, 30, 22, 28, 24, 26, 26, 20, 32, 28, 24, 26, 26, 22, 30, 24, 28, 28, 24, 34, 18, 26, 26, 26, 26, 26, 26, 32, 20, 15, 37, 28, 24, 24, 28, 22, 30, 26, 26, 
Turn 12,23, 29, 27, 25, 25, 27, 26, 26, 28, 24, 27, 25, 27, 25, 21, 31, 29, 23, 29, 23, 32, 20, 25, 27, 21, 31, 29, 23, 25, 27, 23, 29, 25, 27, 28, 24, 31, 21, 25, 27, 25, 27, 25, 27, 31, 21, 15, 37, 29, 23, 23, 29, 23, 29, 27, 25, 
Turn 13,24, 28, 26, 26, 25, 27, 26, 26, 28, 24, 29, 23, 26, 26, 20, 32, 29, 23, 29, 23, 32, 20, 25, 27, 23, 29, 31, 21, 26, 26, 22, 30, 24, 28, 28, 24, 31, 21, 26, 26, 26, 26, 26, 26, 30, 22, 16, 36, 28, 24, 24, 28, 21, 31, 28, 24, 
Turn 14,24, 28, 26, 26, 25, 27, 27, 25, 29, 23, 29, 23, 26, 26, 20, 32, 29, 23, 29, 23, 33, 19, 25, 27, 23, 29, 31, 21, 26, 26, 22, 30, 26, 26, 29, 23, 31, 21, 28, 24, 26, 26, 28, 24, 30, 22, 17, 35, 28, 24, 26, 26, 21, 31, 32, 20, 
Turn 15,24, 28, 26, 26, 26, 26, 28, 24, 30, 22, 30, 22, 26, 26, 20, 32, 30, 22, 30, 22, 32, 20, 24, 28, 22, 30, 28, 24, 26, 26, 22, 30, 26, 26, 30, 22, 32, 20, 28, 24, 26, 26, 28, 24, 30, 22, 16, 36, 28, 24, 26, 26, 22, 30, 32, 20, 
Turn 16,25, 27, 27, 25, 25, 27, 27, 25, 29, 23, 31, 21, 27, 25, 21, 31, 27, 25, 31, 21, 31, 21, 23, 29, 23, 29, 27, 25, 27, 25, 23, 29, 27, 25, 31, 21, 31, 21, 29, 23, 25, 27, 29, 23, 31, 21, 17, 35, 29, 23, 27, 25, 23, 29, 33, 19, 
Turn 17,24, 28, 28, 24, 26, 26, 26, 26, 28, 24, 32, 20, 26, 26, 20, 32, 26, 26, 30, 22, 32, 20, 22, 30, 22, 30, 26, 26, 28, 24, 22, 30, 28, 24, 32, 20, 30, 22, 28, 24, 24, 28, 28, 24, 32, 20, 18, 34, 30, 22, 26, 26, 24, 28, 34, 18, 
Turn 18,25, 27, 25, 27, 29, 23, 27, 25, 29, 23, 31, 21, 27, 25, 21, 31, 25, 27, 31, 21, 31, 21, 23, 29, 21, 31, 25, 27, 29, 23, 23, 29, 29, 23, 31, 21, 31, 21, 29, 23, 25, 27, 29, 23, 33, 19, 14, 38, 29, 23, 27, 25, 25, 27, 33, 19, 
Turn 19,26, 26, 26, 26, 30, 22, 26, 26, 30, 22, 32, 20, 26, 26, 20, 32, 26, 26, 32, 20, 32, 20, 22, 30, 24, 28, 26, 26, 30, 22, 24, 28, 28, 24, 30, 22, 32, 20, 28, 24, 24, 28, 28, 24, 34, 18, 14, 38, 30, 22, 26, 26, 24, 28, 32, 20, 
